,ID,ID_ORIGINAL,Gender,Portuguese_Citizenship,Age,Frequent_Traveler,Cellphone_Usage,Household_Size,JournalReader,Satisfaction_Level,Occupation,Political_Participation,Social_Person,Area_Residence,Household_Income
22,1022,462866,Male,Yes,56,Yes,High,1.0,0,6.0,Government,Strong involvement,No,City,7000
23,1023,460264,Female,Yes,35,Yes,High,4.0,0,1.0,Private company,No involvement,Yes,City,7000
24,1024,463434,Female,Yes,25,No,Low,2.0,0,2.0,Private company,Strong involvement,No,City,7000
25,1025,460414,Female,No,33,Yes,High,1.0,0,4.0,Private company,Some involvement,No,City,7000
26,1026,465377,Male,Yes,26,Yes,Low,,0,,Private company,Unknown,No,City,13305
27,1027,464201,Female,No,30,No,Low,9.0,1,1.0,Private company,Some involvement,No,City,7000
28,1028,463548,Female,No,18,No,High,4.0,0,1.0,Private company,Some involvement,Yes,Country-side,10783
29,1029,466305,Male,No,31,No,Low,3.0,1,2.0,Private company,Some involvement,Yes,City,8261
30,1030,463245,Male,Yes,37,Yes,Low,2.0,0,2.0,Private company,No involvement,No,City,18349
31,1031,459117,Male,Yes,66,Yes,High,2.0,1,4.0,Private company,Unknown,No,City,8261
32,1032,466168,Female,Yes,45,Yes,High,3.0,1,2.0,Public company,Strong involvement,Yes,City,8261
33,1033,466158,Female,Yes,47,Yes,Low,4.0,1,2.0,Private company,Strong involvement,No,City,7000
34,1034,462683,Female,Yes,38,No,Low,5.0,1,1.0,Private company,Strong involvement,Yes,City,8261
35,1035,464425,Male,No,40,Yes,Low,1.0,1,4.0,Private company,Unknown,No,City,17088
36,1036,459108,Male,No,23,No,High,5.0,0,1.0,Private company,Some involvement,No,City,7000
37,1037,459336,Male,Yes,26,Yes,Low,2.0,0,2.0,Private company,Unknown,No,City,14566
38,1038,465151,Male,Yes,59,Yes,Low,1.0,1,6.0,Private company,Unknown,No,City,7000
39,1039,462732,Female,Yes,41,Yes,Low,1.0,1,5.0,Private company,Unknown,No,City,7000
40,1040,467692,Female,Yes,43,No,Low,1.0,1,5.0,Private company,Unknown,No,City,12044
41,1041,466890,Male,Yes,47,Yes,Average,6.0,1,1.0,Private company,Unknown,Yes,City,7000
42,1042,460197,Male,No,38,Yes,High,3.0,0,2.0,Private company,Unknown,Yes,City,17088
43,1043,461764,Female,No,41,Yes,High,1.0,0,5.0,Private company,Unknown,No,City,7000
44,1044,464971,Female,Yes,36,No,High,5.0,0,1.0,Private company,Strong involvement,Yes,Country-side,8261
45,1045,465286,Male,No,36,Yes,Low,1.0,1,4.0,Private company,Unknown,No,City,17088
46,1046,459701,Male,No,47,No,Low,3.0,1,2.0,Private company,Unknown,Yes,City,10783
47,1047,464330,Male,No,38,Yes,High,2.0,0,2.0,Private company,Unknown,No,City,7000
48,1048,466323,Male,No,28,No,Low,1.0,1,3.0,Government,Strong involvement,Yes,City,12044
49,1049,459788,Female,No,36,Yes,High,1.0,0,4.0,Private company,No involvement,Yes,City,7000
50,1050,466668,Female,Yes,49,Yes,Low,1.0,1,5.0,Private company,Strong involvement,Yes,City,7000
51,1051,464058,Male,Yes,86,Yes,High,1.0,0,9.0,Private company,Some involvement,No,City,7000
52,1052,459699,Female,,61,Yes,Average,3.0,1,3.0,Private company,Strong involvement,No,City,18349
53,1053,462980,Male,No,28,Yes,Low,5.0,1,1.0,Private company,No involvement,No,City,8261
54,1054,463565,Female,No,33,Yes,High,4.0,0,1.0,Private company,No involvement,No,City,8261
55,1055,467361,Female,Yes,26,No,High,4.0,0,1.0,Nothing,Strong involvement,No,City,7000
56,1056,459970,Male,No,40,Yes,High,2.0,0,2.0,Private company,Unknown,No,City,8261
57,1057,465100,Male,Yes,56,Yes,High,2.0,1,3.0,Private company,Unknown,No,City,8261
58,1058,462962,Female,Yes,37,Yes,High,1.0,0,4.0,Private company,Unknown,Yes,City,12044
59,1059,463724,Male,No,29,No,Low,5.0,1,1.0,Private company,Some involvement,Yes,Country-side,7000
60,1060,461658,Female,Yes,62,Yes,Average,2.0,1,4.0,Private company,Unknown,Yes,City,7000
61,1061,459033,Female,Yes,56,Yes,Low,1.0,1,6.0,Private company,Unknown,No,City,7000
62,1062,462607,Female,,37,No,Low,3.0,0,2.0,Private company,Strong involvement,Yes,Country-side,9522
63,1063,462294,Male,Yes,30,No,Low,4.0,0,1.0,Private company,Some involvement,No,City,8261
64,1064,467431,Male,Yes,40,Yes,Average,3.0,1,2.0,Private company,Unknown,No,City,18349
65,1065,466289,Male,No,19,No,High,5.0,0,1.0,Private company,Some involvement,Yes,City,9522
66,1066,467445,Male,Yes,31,No,High,2.0,0,2.0,Government,Strong involvement,Yes,City,17088
67,1067,464293,Male,No,30,Yes,Low,4.0,1,1.0,Private company,Some involvement,No,City,8261
68,1068,466577,Male,No,30,Yes,High,1.0,0,3.0,Private company,Some involvement,No,City,8261
69,1069,462756,Female,No,23,No,Low,4.0,1,1.0,Private company,Strong involvement,No,City,8261
70,1070,464559,Female,No,35,Yes,High,1.0,0,4.0,Private company,Some involvement,No,City,18349
71,1071,464212,Female,Yes,56,Yes,Average,2.0,1,3.0,Student,Strong involvement,No,City,7000
72,1072,464411,Male,No,30,Yes,High,6.0,0,1.0,Private company,Some involvement,Yes,City,10783
73,1073,464240,Male,Yes,52,No,High,1.0,0,6.0,Private company,Strong involvement,Yes,City,7000
74,1074,463553,Male,No,27,Yes,Low,2.0,1,2.0,Private company,Unknown,No,City,18349
75,1075,459967,Male,No,27,Yes,Low,3.0,1,1.0,Private company,No involvement,No,City,18349
76,1076,463746,Male,No,38,Yes,High,1.0,0,4.0,Private company,Unknown,No,City,7000
77,1077,465702,Male,No,32,Yes,High,1.0,0,4.0,Private company,No involvement,Yes,Country-side,8261
78,1078,459796,Male,Yes,66,Yes,Average,3.0,1,3.0,Private company,Unknown,No,City,7000
79,1079,462935,Male,Yes,79,No,High,1.0,0,8.0,Private company,No involvement,,,8261
80,1080,462323,Female,Yes,70,Yes,Average,2.0,1,4.0,Government,Strong involvement,No,City,7000
81,1081,465513,Male,No,43,Yes,Low,2.0,1,3.0,Private company,No involvement,No,City,8261
82,1082,461881,Male,No,40,Yes,High,1.0,0,4.0,Private company,Unknown,No,City,8261
83,1083,466207,Female,Yes,37,Yes,Average,4.0,1,1.0,Government,Strong involvement,Yes,City,18349
84,1084,461124,Male,No,19,No,High,8.0,0,1.0,Private company,Some involvement,Yes,Country-side,8261
85,1085,466393,Female,Yes,42,No,Low,6.0,1,1.0,Private company,No involvement,Yes,City,8261
86,1086,462199,Female,No,33,No,High,3.0,0,2.0,Private company,Some involvement,,,17088
87,1087,459537,Female,No,47,Yes,High,3.0,0,2.0,Nothing,Strong involvement,Yes,Country-side,18349
88,1088,463484,Female,Yes,35,No,Average,2.0,0,2.0,Private company,Strong involvement,,,8261
89,1089,459723,Male,Yes,49,Yes,Average,2.0,1,3.0,Private company,Unknown,No,City,14566
90,1090,465456,Female,Yes,59,Yes,High,5.0,1,2.0,Private company,Unknown,Yes,City,10783
91,1091,460634,Female,No,39,No,High,6.0,0,1.0,Private company,No involvement,Yes,City,7000
92,1092,461319,Male,Yes,56,No,Average,2.0,1,3.0,Private company,Unknown,No,City,7000
93,1093,464106,Male,Yes,55,Yes,High,2.0,0,3.0,Private company,No involvement,No,City,8261
94,1094,460191,Female,No,33,No,High,4.0,0,1.0,Private company,Some involvement,No,City,17088
95,1095,466578,Male,No,45,No,Low,1.0,1,5.0,Private company,Unknown,No,City,9522
96,1096,463237,Male,No,20,No,High,5.0,0,1.0,Private company,Some involvement,No,City,8261
97,1097,465566,Male,No,50,Yes,Low,3.0,1,2.0,Private company,Unknown,Yes,City,8261
98,1098,458997,Male,Yes,61,Yes,Average,2.0,1,4.0,Private company,Unknown,No,City,8261
99,1099,465851,Female,Yes,50,No,Average,2.0,0,3.0,Private company,Unknown,Yes,Country-side,18349
100,1100,465640,Male,Yes,50,Yes,Average,2.0,1,3.0,Private company,Unknown,No,City,15827
101,1101,466814,Male,No,18,No,High,3.0,0,1.0,Private company,Some involvement,No,City,7000
102,1102,466021,Male,No,87,No,High,1.0,0,9.0,Self-employed,Strong involvement,No,City,8261
103,1103,465990,Male,Yes,48,No,Average,2.0,0,3.0,Public company,Strong involvement,Yes,City,9522
104,1104,461638,Male,Yes,70,Yes,Average,2.0,0,4.0,Private company,No involvement,No,City,7000
105,1105,467399,Male,Yes,29,Yes,High,3.0,0,1.0,Government,Strong involvement,No,City,8261
106,1106,466106,Female,Yes,63,No,Average,5.0,1,2.0,Private company,Unknown,No,City,7000
107,1107,459428,Female,No,43,No,High,2.0,0,3.0,Student,Strong involvement,Yes,Country-side,7000
108,1108,459487,Male,Yes,67,No,High,,0,,Self-employed,Strong involvement,No,City,7000
109,1109,462483,Male,Yes,63,Yes,Average,2.0,1,4.0,,,No,City,8261
110,1110,461853,Male,No,20,No,High,3.0,0,1.0,Private company,Some involvement,No,City,14566
111,1111,463896,Female,No,25,No,Low,3.0,1,1.0,Nothing,Strong involvement,Yes,City,7000
112,1112,467257,Male,No,22,No,High,4.0,0,1.0,Private company,Some involvement,No,City,19610
113,1113,467792,Male,No,21,No,High,4.0,0,1.0,Private company,Some involvement,No,City,7000
114,1114,460156,Male,No,32,Yes,Low,3.0,1,2.0,Private company,Some involvement,No,City,8261
115,1115,462348,Female,Yes,73,Yes,High,2.0,1,4.0,Self-employed,Strong involvement,No,City,8261
116,1116,465658,Male,Yes,71,Yes,Average,4.0,1,2.0,Private company,Unknown,No,City,7000
117,1117,464757,Female,Yes,42,No,Low,5.0,0,1.0,Public company,Strong involvement,Yes,Country-side,7000
118,1118,463005,Female,Yes,40,Yes,Average,2.0,1,2.0,Nothing,Strong involvement,Yes,Country-side,19610
119,1119,464581,Female,No,25,No,High,4.0,0,1.0,Government,Strong involvement,No,City,7000
120,1120,464349,Male,Yes,66,Yes,Low,1.0,1,7.0,Private company,Unknown,No,City,9522
121,1121,464256,Male,Yes,40,Yes,Low,2.0,1,2.0,Private company,Unknown,No,City,7000
122,1122,459915,Female,No,29,Yes,High,3.0,0,1.0,Private company,Some involvement,Yes,Country-side,8261
123,1123,467656,Male,No,31,Yes,High,5.0,0,1.0,Private company,Some involvement,No,City,8261
124,1124,461885,Female,Yes,49,Yes,High,5.0,1,1.0,Private company,Unknown,No,City,10783
125,1125,460735,Male,Yes,35,Yes,Low,4.0,0,1.0,Private company,Strong involvement,Yes,City,8261
126,1126,459380,Male,Yes,62,Yes,High,1.0,0,7.0,Private company,Unknown,No,City,8261
127,1127,463901,Male,Yes,35,No,Low,6.0,1,1.0,Private company,Unknown,Yes,Country-side,7000
128,1128,466434,Male,Yes,53,Yes,Average,4.0,1,2.0,Private company,Unknown,No,City,7000
129,1129,467890,Male,Yes,62,Yes,Average,4.0,1,2.0,Private company,No involvement,No,City,7000
130,1130,459922,Male,Yes,65,Yes,High,1.0,0,7.0,Self-employed,Strong involvement,Yes,Country-side,7000
131,1131,463109,Male,Yes,61,Yes,High,2.0,1,4.0,Public company,Strong involvement,No,City,18349
132,1132,464955,Female,Yes,38,No,Average,6.0,1,1.0,Private company,Strong involvement,Yes,Country-side,8261
133,1133,465095,Male,Yes,48,Yes,High,4.0,1,2.0,Public company,Strong involvement,No,City,8261
134,1134,465434,Female,No,26,Yes,Low,7.0,1,1.0,Private company,Some involvement,Yes,City,8261
135,1135,465096,Male,Yes,86,No,High,1.0,0,9.0,Self-employed,Strong involvement,No,City,23393
136,1136,466392,Female,Yes,45,Yes,Average,,1,,Private company,Strong involvement,Yes,City,10783
137,1137,461794,Female,No,19,No,High,5.0,0,1.0,Private company,Some involvement,Yes,City,13305
138,1138,467236,Female,No,40,Yes,Low,1.0,1,4.0,Self-employed,Strong involvement,No,City,12044
139,1139,462359,Male,Yes,51,Yes,High,3.0,0,2.0,Private company,No involvement,,,7000
140,1140,463532,Female,Yes,67,Yes,Low,3.0,1,3.0,Private company,Unknown,No,City,18349
141,1141,464689,Female,No,25,Yes,High,,0,,Student,Strong involvement,Yes,Country-side,9522
142,1142,467489,Male,No,30,Yes,High,1.0,0,3.0,Private company,Some involvement,No,City,7000
143,1143,462537,Male,No,78,Yes,Low,1.0,1,8.0,Private company,No involvement,No,City,7000
144,1144,464475,Male,No,25,Yes,Low,4.0,1,1.0,Private company,Some involvement,No,City,7000
145,1145,467865,Female,No,35,Yes,High,1.0,0,4.0,Private company,Unknown,Yes,Country-side,10783
146,1146,465364,Female,No,38,Yes,High,5.0,0,1.0,Government,Strong involvement,Yes,City,13305
147,1147,463941,Female,No,32,No,High,6.0,0,1.0,Private company,Unknown,Yes,Country-side,8261
148,1148,461279,Male,No,18,No,High,2.0,0,1.0,Government,Strong involvement,No,City,12044
149,1149,462503,Male,Yes,52,Yes,High,4.0,1,2.0,Public company,Strong involvement,No,City,7000
150,1150,460703,Female,Yes,30,Yes,Low,5.0,0,1.0,Private company,Strong involvement,Yes,Country-side,17088
151,1151,465518,Female,Yes,43,Yes,Average,3.0,1,2.0,Private company,Unknown,Yes,Country-side,8261
152,1152,464288,Female,No,33,Yes,High,2.0,0,2.0,Government,Strong involvement,No,City,18349
153,1153,466524,Female,Yes,46,Yes,Low,1.0,1,5.0,Private company,Unknown,Yes,City,7000
154,1154,463102,Male,No,41,No,High,2.0,0,3.0,Private company,No involvement,No,City,7000
155,1155,463404,Male,Yes,29,No,High,2.0,1,2.0,Government,Strong involvement,Yes,City,7000
156,1156,459951,Male,Yes,53,Yes,High,1.0,0,6.0,Private company,Unknown,No,City,7000
157,1157,461914,Female,Yes,55,Yes,Low,,1,,Private company,Unknown,No,City,14566
158,1158,459918,Female,No,43,Yes,Low,1.0,1,5.0,Private company,Unknown,Yes,City,8261
159,1159,459743,Female,Yes,50,Yes,Low,4.0,0,2.0,Private company,Unknown,No,City,18349
160,1160,462643,Female,Yes,38,Yes,Low,3.0,0,2.0,Private company,Strong involvement,Yes,Country-side,7000
161,1161,461834,Female,No,42,Yes,Low,2.0,1,3.0,Private company,Unknown,No,City,15827
162,1162,467532,Male,Yes,53,Yes,High,1.0,0,6.0,Private company,Unknown,No,City,17088
163,1163,466247,Female,,51,Yes,Low,4.0,1,2.0,Private company,Unknown,Yes,City,7000
164,1164,460418,Female,No,35,Yes,High,2.0,0,2.0,Private company,No involvement,No,City,18349
165,1165,467780,Male,Yes,47,Yes,High,3.0,0,2.0,Private company,Unknown,No,City,7000
166,1166,460367,Male,Yes,73,Yes,Low,2.0,1,4.0,Private company,Unknown,No,City,8261
167,1167,462261,Male,Yes,60,No,Average,3.0,1,2.0,Private company,Strong involvement,No,City,7000
168,1168,467075,Female,Yes,31,No,Low,2.0,0,2.0,Nothing,Strong involvement,No,City,18349
169,1169,464954,Male,No,23,No,High,4.0,0,1.0,Private company,Some involvement,Yes,Country-side,8261
170,1170,467238,Female,No,31,No,High,4.0,0,1.0,Government,Strong involvement,No,City,14566
171,1171,463112,Male,Yes,70,Yes,High,1.0,0,7.0,Self-employed,Strong involvement,Yes,City,7000
172,1172,460612,Male,No,33,Yes,Low,4.0,1,1.0,Private company,No involvement,Yes,City,18349
173,1173,460913,Male,,22,No,High,5.0,0,1.0,Private company,Some involvement,Yes,Country-side,8261
174,1174,462442,Male,No,19,No,High,4.0,0,1.0,Private company,Some involvement,No,City,7000
175,1175,466278,Female,No,31,No,High,2.0,0,2.0,,,Yes,City,7000
176,1176,459013,Male,Yes,47,Yes,Average,4.0,1,2.0,Private company,Unknown,No,City,10783
177,1177,465393,Male,Yes,36,Yes,Average,2.0,1,2.0,Private company,Unknown,No,City,15827
178,1178,464607,Female,Yes,49,Yes,Average,4.0,1,2.0,Private company,Unknown,Yes,City,7000
179,1179,467892,Male,No,23,No,High,5.0,0,1.0,Government,Strong involvement,No,City,8261
180,1180,462155,Female,Yes,57,Yes,High,3.0,1,2.0,Private company,Unknown,No,City,7000
181,1181,464287,Male,Yes,35,Yes,Average,3.0,1,2.0,Private company,Unknown,Yes,City,7000
182,1182,465551,Female,Yes,48,Yes,Average,2.0,1,3.0,Private company,Unknown,Yes,City,7000
183,1183,461156,Male,No,22,No,High,6.0,0,1.0,Student,Strong involvement,Yes,City,10783
184,1184,462770,Male,No,18,No,High,3.0,0,1.0,Private company,Some involvement,No,City,7000
185,1185,462920,Male,Yes,50,No,High,5.0,1,1.0,Public company,Strong involvement,No,City,7000
186,1186,461131,Male,Yes,68,Yes,Average,,0,,Private company,Unknown,No,City,7000
187,1187,461114,Male,Yes,45,Yes,Average,4.0,1,2.0,Private company,Unknown,Yes,City,8261
188,1188,463437,Male,Yes,49,Yes,Average,3.0,1,2.0,Private company,Unknown,No,City,8261
189,1189,463915,Female,No,21,Yes,High,5.0,0,1.0,Private company,Some involvement,Yes,City,7000
190,1190,459443,Female,Yes,50,Yes,Average,2.0,1,3.0,Private company,Unknown,No,City,17088
191,1191,460636,Male,Yes,45,Yes,Low,3.0,0,2.0,Private company,Unknown,Yes,City,9522
192,1192,466067,Male,Yes,69,Yes,Average,5.0,1,2.0,Private company,Unknown,Yes,City,7000
193,1193,465834,Male,No,48,Yes,High,3.0,0,2.0,Private company,No involvement,Yes,City,7000
194,1194,463864,Male,Yes,81,No,High,2.0,1,5.0,Public company,Strong involvement,No,City,7000
195,1195,462672,Male,No,25,No,High,4.0,0,1.0,Private company,Some involvement,Yes,Country-side,15827
196,1196,463728,Female,Yes,30,No,Average,6.0,1,1.0,Government,Strong involvement,No,City,8261
197,1197,467208,Female,Yes,39,Yes,Average,2.0,0,2.0,Nothing,Strong involvement,No,City,7000
198,1198,462485,Female,Yes,37,No,High,2.0,0,2.0,Private company,Strong involvement,No,City,7000
199,1199,463579,Male,Yes,45,Yes,Average,2.0,1,3.0,Private company,Unknown,No,City,7000
200,1200,459245,Female,Yes,38,No,Average,4.0,1,1.0,Private company,Strong involvement,No,City,7000
201,1201,459690,Female,No,43,Yes,High,1.0,0,5.0,Private company,Unknown,No,City,8261
202,1202,459411,Male,Yes,74,No,High,1.0,0,8.0,Self-employed,Strong involvement,No,City,17088
203,1203,461831,Male,No,30,Yes,Low,3.0,1,1.0,Government,Strong involvement,No,City,7000
204,1204,463612,Female,Yes,51,Yes,High,3.0,1,2.0,Private company,Strong involvement,No,City,8261
205,1205,460630,Male,Yes,18,No,Low,,0,,Public company,Strong involvement,Yes,City,7000
206,1206,462480,Male,No,40,No,High,4.0,0,1.0,Private company,Strong involvement,No,City,9522
207,1207,464879,Female,Yes,28,Yes,Low,2.0,0,2.0,Government,Strong involvement,Yes,Country-side,8261
208,1208,466548,Female,Yes,45,Yes,Average,2.0,1,3.0,Private company,Unknown,No,City,8261
209,1209,467714,Male,Yes,89,Yes,High,1.0,0,9.0,Self-employed,Strong involvement,No,City,23393
210,1210,467249,Female,No,43,Yes,High,1.0,0,5.0,Student,Strong involvement,No,City,8261
211,1211,462562,Female,No,25,Yes,Low,6.0,1,1.0,Private company,No involvement,Yes,City,7000
212,1212,466813,Male,Yes,59,Yes,High,,0,,Private company,Unknown,No,City,8261
213,1213,467758,Female,Yes,50,Yes,Low,,1,,Government,Strong involvement,No,City,8261
214,1214,461359,Male,Yes,28,Yes,High,4.0,0,1.0,Private company,Some involvement,Yes,City,8261
215,1215,463377,Female,Yes,32,Yes,High,2.0,1,2.0,Nothing,Strong involvement,Yes,City,12044
216,1216,465801,Male,,37,Yes,Low,6.0,1,1.0,Government,Strong involvement,No,City,17088
217,1217,463308,Male,Yes,53,Yes,High,2.0,0,3.0,Private company,Strong involvement,Yes,City,8261
218,1218,460877,Female,Yes,47,No,Average,5.0,1,1.0,Private company,Unknown,No,City,7000
219,1219,466222,Male,Yes,51,No,Low,3.0,1,2.0,Public company,Strong involvement,Yes,City,13305
220,1220,461827,Male,Yes,57,Yes,Low,1.0,1,6.0,Private company,Unknown,No,City,7000
221,1221,463493,Male,Yes,42,Yes,High,4.0,1,2.0,Public company,Strong involvement,No,City,7000
222,1222,466607,Male,No,18,No,High,2.0,0,1.0,Student,Strong involvement,Yes,City,9522
223,1223,466244,Female,No,30,No,Low,3.0,1,1.0,Private company,Some involvement,Yes,Country-side,10783
224,1224,460865,Male,No,18,No,High,3.0,0,1.0,Private company,Some involvement,Yes,Country-side,8261
225,1225,461974,Female,Yes,47,Yes,High,1.0,0,5.0,Private company,Unknown,No,City,7000
226,1226,464336,Male,Yes,65,Yes,High,4.0,1,2.0,Public company,Strong involvement,No,City,7000
227,1227,461623,Female,Yes,41,Yes,Average,2.0,1,3.0,Private company,Unknown,No,City,20871
228,1228,460180,Female,Yes,27,Yes,Low,2.0,0,2.0,Student,Strong involvement,No,City,20871
229,1229,466114,Male,Yes,52,Yes,Average,5.0,1,2.0,Private company,No involvement,No,City,8261
230,1230,467390,Male,Yes,46,Yes,Low,2.0,1,3.0,Private company,Unknown,No,City,7000
231,1231,465620,Male,No,37,Yes,Low,3.0,1,2.0,Private company,Unknown,No,City,17088
232,1232,465760,Female,No,43,Yes,High,2.0,0,3.0,Private company,Strong involvement,Yes,Country-side,17088
233,1233,459007,Female,Yes,42,Yes,Average,3.0,1,2.0,Private company,Unknown,No,City,8261
234,1234,464939,Male,No,43,No,High,1.0,0,5.0,Private company,No involvement,Yes,Country-side,7000
235,1235,464127,Female,No,33,Yes,Low,5.0,1,1.0,Private company,Some involvement,Yes,City,8261
236,1236,462166,Male,Yes,26,Yes,Low,2.0,1,2.0,Private company,Unknown,Yes,City,7000
237,1237,460185,Male,No,25,No,High,3.0,0,1.0,Private company,Some involvement,No,City,18349
238,1238,459455,Female,Yes,79,Yes,High,1.0,0,8.0,Self-employed,Strong involvement,No,City,8261
239,1239,464341,Male,No,35,Yes,High,2.0,0,2.0,Private company,Unknown,No,City,9522
240,1240,460265,Male,Yes,52,Yes,High,4.0,1,2.0,Public company,Strong involvement,No,City,8261
241,1241,466798,Male,No,23,No,High,5.0,0,1.0,Private company,Some involvement,No,City,12044
242,1242,460961,Male,No,20,No,High,2.0,0,1.0,Private company,Some involvement,Yes,City,8261
243,1243,466984,Female,No,43,Yes,High,,0,,Nothing,Strong involvement,No,City,18349
244,1244,467498,Male,Yes,56,Yes,High,3.0,0,2.0,Self-employed,Strong involvement,Yes,City,7000
245,1245,459818,Female,Yes,68,No,High,1.0,0,7.0,Self-employed,Strong involvement,No,City,8261
246,1246,461532,Male,Yes,48,Yes,High,1.0,0,5.0,Private company,No involvement,No,City,8261
247,1247,463319,Female,Yes,73,No,High,3.0,1,3.0,Self-employed,Strong involvement,No,City,8261
248,1248,461563,Female,Yes,60,Yes,High,2.0,1,3.0,Private company,Unknown,No,City,8261
249,1249,461162,Female,No,41,No,Low,3.0,1,2.0,Student,Strong involvement,Yes,City,18349
250,1250,465749,Male,Yes,42,No,Average,3.0,1,2.0,Private company,Strong involvement,No,City,8261
251,1251,459759,Female,Yes,38,Yes,Average,3.0,1,2.0,Private company,Unknown,No,City,7000
252,1252,463753,Female,No,30,Yes,High,5.0,0,1.0,Private company,Some involvement,Yes,City,7000
253,1253,466098,Male,Yes,78,Yes,Average,2.0,0,4.0,Self-employed,Strong involvement,No,City,8261
254,1254,459521,Female,Yes,46,Yes,Low,4.0,0,2.0,Private company,Unknown,Yes,City,7000
255,1255,459587,Female,No,32,Yes,High,3.0,0,2.0,Private company,Unknown,No,City,15827
256,1256,463543,Male,No,18,No,High,4.0,0,1.0,Private company,Some involvement,No,City,8261
257,1257,463063,Female,No,25,No,Low,7.0,1,1.0,Student,Strong involvement,Yes,City,7000
258,1258,464924,Male,Yes,26,No,Average,6.0,0,1.0,Private company,No involvement,Yes,Country-side,7000
259,1259,460615,Female,No,25,Yes,Low,,1,,Private company,Some involvement,Yes,City,7000
260,1260,460563,Female,No,41,No,Low,2.0,1,3.0,Private company,Some involvement,Yes,City,8261
261,1261,467781,Male,Yes,27,Yes,Average,2.0,0,2.0,Private company,Some involvement,No,City,8261
262,1262,465859,Male,No,47,Yes,High,1.0,0,5.0,Private company,Unknown,No,City,7000
263,1263,466360,Male,No,25,No,Low,3.0,1,1.0,Private company,Some involvement,Yes,Country-side,7000
264,1264,463912,Female,Yes,36,No,Average,4.0,1,1.0,Private company,Unknown,Yes,Country-side,8261
265,1265,466803,Female,,41,Yes,High,2.0,0,3.0,Student,Strong involvement,No,City,7000
266,1266,461047,Female,,18,No,Low,3.0,0,1.0,Private company,Some involvement,Yes,City,8261
267,1267,464700,Male,No,25,No,High,,0,,Government,Strong involvement,Yes,Country-side,9522
268,1268,466208,Male,Yes,67,No,High,1.0,1,7.0,Public company,Strong involvement,No,City,9522
269,1269,466232,Male,Yes,59,No,High,3.0,1,2.0,Public company,Strong involvement,No,City,7000
270,1270,459568,Male,No,41,Yes,Low,3.0,1,2.0,Private company,Unknown,No,City,7000
271,1271,461919,Male,No,38,Yes,High,3.0,0,2.0,Government,Strong involvement,No,City,7000
272,1272,465839,Male,No,19,No,High,4.0,0,1.0,Private company,Some involvement,No,City,7000
273,1273,462300,Male,Yes,50,Yes,Average,3.0,1,2.0,Private company,Unknown,No,City,8261
274,1274,462764,Male,No,18,No,High,4.0,0,1.0,Private company,Some involvement,No,City,7000
275,1275,463732,Male,No,21,No,High,4.0,0,1.0,Private company,Some involvement,No,City,7000
276,1276,459762,Female,Yes,45,Yes,Average,2.0,1,3.0,Private company,Unknown,,,17088
277,1277,466319,Female,,29,No,Low,4.0,1,1.0,Private company,Some involvement,No,City,8261
